Elapsed time,LoadExamResultsHomePage (failure),LoadExamResultsHomePage (success),LoadExamResultsHomePage-0 (success),LoadExamResultsHomePage-1 (failure),LoadExamResultsHomePage-1 (success),SearchExamResults (failure),SearchExamResults (success),SearchExamResults-0 (success),SearchExamResults-1 (failure),SearchExamResults-1 (success),SearchExamResults-2 (failure),SearchExamResults-2 (success)
16:42:24.0,,1.0,1.0,,1.0,,,,,,,
16:42:25.0,,2.0,2.0,,2.0,,,,,,,
16:42:26.0,,2.0,2.0,,2.0,,,,,,,
16:42:27.0,,1.0,1.0,,1.0,,,,,,,
16:42:28.0,,2.0,2.0,,2.0,,,,,,,
16:42:29.0,,2.0,2.0,,2.0,,,,,,,
16:42:30.0,,1.0,1.0,,1.0,,,,,,,
16:42:31.0,,2.0,2.0,,2.0,,,,,,,
16:42:32.0,,4.0,4.0,,4.0,,2.0,2.0,,2.0,,2.0
16:42:33.0,,3.0,3.0,,3.0,,2.0,2.0,,2.0,,2.0
16:42:34.0,,3.0,3.0,,3.0,,1.0,1.0,,1.0,,1.0
16:42:35.0,,4.0,4.0,,4.0,,2.0,2.0,,2.0,,2.0
16:42:36.0,,3.0,3.0,,3.0,,2.0,2.0,,2.0,,2.0
16:42:37.0,,3.0,3.0,,3.0,,1.0,1.0,,1.0,,1.0
16:42:38.0,,4.0,4.0,,4.0,,2.0,2.0,,2.0,,2.0
16:42:39.0,,3.0,3.0,,3.0,,2.0,2.0,,2.0,,2.0
16:42:40.0,,6.0,6.0,,6.0,,4.0,4.0,,4.0,,4.0
16:42:41.0,,5.0,5.0,,5.0,,3.0,3.0,,3.0,,3.0
16:42:42.0,,5.0,5.0,,5.0,,4.0,4.0,,4.0,,4.0
16:42:43.0,,5.0,5.0,,5.0,,3.0,3.0,,3.0,,3.0
16:42:44.0,,5.0,5.0,,5.0,,3.0,3.0,,3.0,,3.0
16:42:45.0,,5.0,5.0,,5.0,,4.0,4.0,,4.0,,4.0
16:42:46.0,,5.0,5.0,,5.0,,3.0,3.0,,3.0,,3.0
16:42:47.0,,7.0,7.0,,7.0,,5.0,5.0,,5.0,,5.0
16:42:48.0,,6.0,6.0,,6.0,,5.0,5.0,,5.0,,5.0
16:42:49.0,,7.0,7.0,,7.0,,5.0,5.0,,5.0,,5.0
16:42:50.0,,7.0,7.0,,7.0,,5.0,5.0,,5.0,,5.0
16:42:51.0,,6.0,6.0,,6.0,,5.0,5.0,,5.0,,5.0
16:42:52.0,,7.0,7.0,,7.0,,5.0,5.0,,5.0,,5.0
16:42:53.0,,7.0,7.0,,7.0,,5.0,5.0,,5.0,,5.0
16:42:54.0,,6.0,6.0,,6.0,,5.0,5.0,,5.0,,5.0
16:42:55.0,,9.0,9.0,,9.0,,7.0,7.0,,7.0,,7.0
16:42:56.0,,9.0,9.0,,9.0,,7.0,7.0,,7.0,,7.0
16:42:57.0,,9.0,9.0,,9.0,,8.0,8.0,,8.0,,8.0
16:42:58.0,,8.0,8.0,,8.0,,6.0,6.0,,6.0,,6.0
16:42:59.0,,8.0,8.0,,8.0,,6.0,6.0,,6.0,,6.0
16:43:00.0,,8.0,8.0,,8.0,,8.0,8.0,,8.0,,8.0
16:43:01.0,,9.0,9.0,,9.0,,6.0,6.0,,6.0,,6.0
16:43:02.0,,10.0,10.0,,10.0,,8.0,8.0,,8.0,,8.0
16:43:03.0,,10.0,10.0,,10.0,,9.0,9.0,,9.0,,9.0
16:43:04.0,,9.0,9.0,,9.0,,8.0,8.0,,8.0,,8.0
16:43:05.0,,8.0,8.0,,8.0,,6.0,8.0,,6.0,,8.0
16:43:06.0,,7.0,7.0,,7.0,,7.0,8.0,,10.0,,5.0
16:43:07.0,,7.0,7.0,,7.0,,6.0,7.0,,6.0,,7.0
16:43:08.0,,9.0,9.0,,9.0,,5.0,5.0,,4.0,,6.0
16:43:09.0,,8.0,8.0,,8.0,,10.0,12.0,,10.0,,12.0
16:43:10.0,,10.0,10.0,,10.0,,6.0,6.0,,6.0,,6.0
16:43:11.0,,6.0,6.0,,6.0,,6.0,9.0,,8.0,,7.0
16:43:12.0,,8.0,8.0,,8.0,,9.0,9.0,,11.0,,7.0
16:43:13.0,,7.0,7.0,,7.0,,9.0,9.0,,10.0,,8.0
16:43:14.0,,3.0,3.0,,3.0,,1.0,5.0,,5.0,,1.0
16:43:15.0,,11.0,11.0,,11.0,,13.0,11.0,,4.0,,20.0
16:43:16.0,,5.0,5.0,,5.0,,,3.0,,1.0,,2.0
16:43:17.0,,12.0,12.0,,12.0,,14.0,12.0,,19.0,,7.0
16:43:18.0,,3.0,3.0,,3.0,,,3.0,,1.0,,2.0
16:43:19.0,,8.0,13.0,,8.0,,15.0,16.0,,16.0,,14.0
16:43:20.0,,6.0,2.0,,6.0,,,1.0,,,,1.0
16:43:21.0,,8.0,17.0,,8.0,,18.0,13.0,,15.0,,15.0
16:43:22.0,,11.0,4.0,,11.0,,,,,,,
16:43:23.0,,4.0,5.0,,4.0,,,,,,,
16:43:24.0,,11.0,13.0,,11.0,,13.0,14.0,,12.0,,15.0
16:43:25.0,,3.0,,,3.0,,,,,,,
16:43:26.0,,5.0,12.0,,5.0,,,1.0,,2.0,,1.0
16:43:27.0,,11.0,5.0,,11.0,,14.0,21.0,,13.0,,8.0
16:43:28.0,,7.0,7.0,,7.0,,,3.0,,2.0,,
16:43:29.0,,12.0,11.0,,12.0,,24.0,11.0,,19.0,,27.0
16:43:30.0,,3.0,2.0,,3.0,,,1.0,,1.0,,
16:43:31.0,,6.0,10.0,,6.0,,,6.0,,2.0,,3.0
16:43:32.0,,7.0,17.0,,7.0,,18.0,20.0,,15.0,,18.0
16:43:33.0,,5.0,,,5.0,,,,,,,
16:43:34.0,,10.0,6.0,,10.0,,,6.0,,,,3.0
16:43:35.0,,6.0,6.0,,6.0,,,,,,,1.0
16:43:36.0,,15.0,18.0,,15.0,,26.0,25.0,,31.0,,17.0
16:43:37.0,,2.0,1.0,,2.0,,,1.0,,1.0,,
16:43:38.0,,6.0,3.0,,6.0,,,,,,,
16:43:39.0,,6.0,12.0,,6.0,,1.0,,,2.0,,1.0
16:43:40.0,,9.0,11.0,,9.0,,26.0,21.0,,22.0,,26.0
16:43:41.0,,10.0,3.0,,10.0,,,,,,,
16:43:42.0,,5.0,17.0,,5.0,,,,,1.0,,
16:43:43.0,,22.0,13.0,,22.0,,20.0,22.0,,14.0,,20.0
16:43:44.0,,3.0,1.0,,3.0,,,,,,,
16:43:45.0,,6.0,15.0,,6.0,,,6.0,,,,
16:43:46.0,,7.0,8.0,,7.0,,28.0,16.0,,27.0,,28.0
16:43:47.0,,9.0,,,9.0,,,,,,,
16:43:48.0,,8.0,6.0,,8.0,,,7.0,,1.0,,1.0
16:43:49.0,,4.0,18.0,,4.0,,,,,1.0,,
16:43:50.0,,24.0,12.0,,24.0,,23.0,25.0,,22.0,,22.0
16:43:51.0,,3.0,3.0,,3.0,,,,,,,
16:43:52.0,,4.0,12.0,,4.0,,,5.0,,,,2.0
16:43:53.0,,5.0,1.0,,5.0,,1.0,,,2.0,,2.0
16:43:54.0,,13.0,11.0,,13.0,,29.0,27.0,,27.0,,27.0
16:43:55.0,,5.0,4.0,,5.0,,,3.0,,1.0,,2.0
16:43:56.0,,4.0,9.0,,4.0,,,,,,,
16:43:57.0,,24.0,25.0,,24.0,,30.0,28.0,,33.0,,27.0
16:43:58.0,,3.0,,,3.0,,,,,,,
16:43:59.0,,4.0,,,4.0,,,,,,,
16:44:00.0,,5.0,23.0,,5.0,,,,,,,
16:44:01.0,,15.0,12.0,,15.0,,28.0,31.0,,26.0,,28.0
16:44:02.0,,5.0,,,5.0,,,,,,,
16:44:03.0,,4.0,,,4.0,,,,,,,
16:44:04.0,,22.0,35.0,,22.0,,31.0,27.0,,30.0,,34.0
16:44:05.0,,3.0,,,3.0,,,,,,,
16:44:06.0,,4.0,,,4.0,,,,,,,
16:44:07.0,,4.0,,,4.0,,,,,1.0,,
16:44:08.0,,15.0,31.0,,15.0,,1.0,,,1.0,,1.0
16:44:09.0,,11.0,7.0,,11.0,,26.0,31.0,,23.0,,22.0
16:44:10.0,,4.0,,,4.0,,,,,,,
16:44:11.0,,21.0,,,21.0,,,3.0,,,,
16:44:12.0,,1.0,28.0,,1.0,,2.0,17.0,,4.0,,3.0
16:44:13.0,,7.0,4.0,,7.0,,48.0,9.0,,46.0,,47.0
16:44:14.0,,1.0,,,1.0,,,,,,,
16:44:15.0,,18.0,,,18.0,,1.0,,,1.0,,1.0
16:44:16.0,,11.0,56.0,,11.0,,9.0,30.0,,9.0,,10.0
16:44:17.0,,,1.0,,,,,4.0,,1.0,,
16:44:18.0,,24.0,2.0,,24.0,,24.0,14.0,,24.0,,24.0
16:44:19.0,,1.0,,,1.0,,,,,,,
16:44:20.0,,7.0,,,7.0,,1.0,,,1.0,,1.0
16:44:21.0,,1.0,,,1.0,,,,,,,
16:44:22.0,,18.0,9.0,,18.0,,,1.0,,,,
16:44:23.0,,13.0,33.0,,13.0,,23.0,43.0,,22.0,,22.0
16:44:25.0,,24.0,26.0,,24.0,,14.0,20.0,,14.0,,14.0
16:44:26.0,,,,,,,,,,,,1.0
16:44:27.0,,6.0,,,6.0,,10.0,,,12.0,,9.0
16:44:28.0,,,,,,,,,,1.0,,
16:44:29.0,,21.0,15.0,,21.0,,39.0,11.0,,36.0,,39.0
16:44:30.0,,13.0,21.0,,13.0,,1.0,31.0,,1.0,,1.0
16:44:32.0,,24.0,40.0,,24.0,,34.0,20.0,,34.0,,34.0
16:44:34.0,,6.0,,,6.0,,,,,,,
16:44:36.0,,21.0,3.0,,21.0,,8.0,12.0,,8.0,,8.0
16:44:37.0,,13.0,11.0,,13.0,,,,,,,
16:44:39.0,,9.0,26.0,,9.0,,20.0,18.0,,20.0,,20.0
16:44:40.0,,14.0,14.0,,14.0,,12.0,36.0,,12.0,,13.0
16:44:41.0,,6.0,16.0,,6.0,,,10.0,,,,
16:44:43.0,,20.0,9.0,,20.0,,,16.0,,,,1.0
16:44:44.0,,11.0,1.0,,11.0,,26.0,4.0,,29.0,,25.0
16:44:46.0,,9.0,21.0,,9.0,,9.0,7.0,,8.0,,10.0
16:44:47.0,,17.0,7.0,,17.0,,34.0,11.0,,33.0,,32.0
16:44:48.0,,7.0,19.0,,7.0,,15.0,23.0,,14.0,,15.0
16:44:50.0,,20.0,42.0,,20.0,,18.0,9.0,,18.0,,18.0
16:44:51.0,,7.0,2.0,,7.0,,1.0,8.0,,1.0,,1.0
16:44:52.0,,3.0,1.0,,3.0,,8.0,2.0,,8.0,,9.0
16:44:53.0,,9.0,1.0,,9.0,,7.0,1.0,,8.0,,6.0
16:44:54.0,,16.0,32.0,,16.0,,6.0,11.0,,6.0,,7.0
16:44:55.0,,8.0,6.0,,8.0,,7.0,2.0,,7.0,,6.0
16:44:57.0,,20.0,5.0,,20.0,,6.0,19.0,,6.0,,6.0
16:44:58.0,,5.0,6.0,,5.0,,3.0,13.0,,3.0,,4.0
16:44:59.0,,5.0,,,5.0,,9.0,13.0,,8.0,,9.0
16:45:00.0,,7.0,,,7.0,,3.0,5.0,,6.0,,2.0
16:45:01.0,,17.0,18.0,,17.0,,15.0,21.0,,14.0,,15.0
16:45:02.0,,9.0,8.0,,9.0,,7.0,7.0,,6.0,,7.0
16:45:04.0,,21.0,40.0,,21.0,,41.0,30.0,,40.0,,41.0
16:45:05.0,,3.0,,,3.0,,3.0,,,3.0,,5.0
16:45:06.0,,6.0,7.0,,6.0,,6.0,,,6.0,,5.0
16:45:07.0,,5.0,2.0,,5.0,,5.0,3.0,,5.0,,4.0
16:45:08.0,,19.0,21.0,,19.0,,11.0,36.0,,12.0,,11.0
16:45:09.0,,7.0,5.0,,7.0,,2.0,1.0,,1.0,,3.0
16:45:10.0,,3.0,13.0,,3.0,,3.0,3.0,,3.0,,2.0
16:45:11.0,,19.0,17.0,,19.0,,8.0,,,8.0,,10.0
16:45:12.0,,2.0,1.0,,2.0,,,,,1.0,,
16:45:13.0,,5.0,8.0,,5.0,,3.0,,,3.0,,4.0
16:45:14.0,,6.0,3.0,,6.0,,7.0,,,7.0,,6.0
16:45:15.0,,18.0,13.0,,18.0,,19.0,51.0,,19.0,,20.0
16:45:16.0,,8.0,7.0,,8.0,,23.0,8.0,,23.0,,21.0
16:45:17.0,,5.0,3.0,,5.0,,2.0,,,2.0,,1.0
16:45:18.0,,13.0,4.0,,13.0,,6.0,2.0,,9.0,,9.0
16:45:19.0,,2.0,,,2.0,,,,,,,
16:45:20.0,,5.0,3.0,,5.0,,4.0,,,5.0,,3.0
16:45:21.0,,8.0,10.0,,8.0,,4.0,6.0,,,,4.0
16:45:22.0,,18.0,35.0,,18.0,,34.0,36.0,,33.0,,37.0
16:45:23.0,,8.0,25.0,,8.0,,,7.0,,,,
16:45:24.0,,4.0,3.0,,4.0,,3.0,1.0,,3.0,,4.0
16:45:25.0,,18.0,33.0,,18.0,,38.0,17.0,,38.0,,33.0
16:45:26.0,,3.0,,,3.0,,1.0,,,1.0,,
16:45:27.0,,4.0,1.0,,4.0,,1.0,6.0,,2.0,,1.0
16:45:28.0,,5.0,9.0,,5.0,,7.0,13.0,,6.0,,7.0
16:45:29.0,,22.0,20.0,,22.0,,8.0,7.0,,8.0,,8.0
16:45:30.0,,8.0,1.0,,8.0,,5.0,4.0,,5.0,,5.0
16:45:31.0,,4.0,3.0,,4.0,,,2.0,,,,
16:45:32.0,,16.0,21.0,,16.0,,19.0,16.0,,19.0,,21.0
16:45:33.0,,3.0,5.0,,3.0,,3.0,,,3.0,,2.0
16:45:34.0,,4.0,,,4.0,,1.0,,,2.0,,1.0
16:45:35.0,,7.0,5.0,,7.0,,4.0,,,3.0,,3.0
16:45:36.0,,22.0,6.0,,22.0,,6.0,20.0,,6.0,,6.0
16:45:37.0,,5.0,2.0,,5.0,,,2.0,,1.0,,
16:45:38.0,,7.0,10.0,,7.0,,5.0,7.0,,4.0,,5.0
16:45:39.0,,14.0,9.0,,14.0,,13.0,29.0,,14.0,,14.0
16:45:40.0,,4.0,2.0,,4.0,,2.0,,,2.0,,1.0
16:45:41.0,,4.0,6.0,,4.0,,3.0,5.0,,2.0,,4.0
16:45:42.0,,2.0,2.0,,2.0,,4.0,,,4.0,,3.0
16:45:43.0,,28.0,29.0,,28.0,,21.0,24.0,,21.0,,21.0
16:45:44.0,,2.0,1.0,,2.0,,5.0,8.0,,6.0,,5.0
16:45:45.0,,10.0,17.0,,10.0,,15.0,29.0,,14.0,,15.0
16:45:46.0,,12.0,14.0,,12.0,,14.0,7.0,,16.0,,14.0
16:45:47.0,,6.0,7.0,,6.0,,4.0,,,2.0,,4.0
16:45:48.0,,1.0,1.0,,1.0,,1.0,,,4.0,,1.0
16:45:49.0,,1.0,2.0,,1.0,,9.0,,,8.0,,9.0
16:45:50.0,,31.0,40.0,,31.0,,35.0,19.0,,34.0,,35.0
16:45:51.0,,2.0,1.0,,2.0,,1.0,,,1.0,,1.0
16:45:52.0,,9.0,2.0,,9.0,,13.0,12.0,,12.0,,15.0
16:45:53.0,,14.0,23.0,,14.0,,14.0,18.0,,14.0,,12.0
16:45:54.0,,4.0,9.0,,4.0,,3.0,1.0,,4.0,,4.0
16:45:55.0,,,,,,,,,,,,1.0
16:45:56.0,,2.0,2.0,,2.0,,5.0,2.0,,5.0,,4.0
16:45:57.0,,33.0,42.0,,33.0,,27.0,51.0,,26.0,,26.0
16:45:58.0,,2.0,,,2.0,,,,,,,
16:45:59.0,,8.0,4.0,,8.0,,,,,,,1.0
16:46:00.0,,15.0,11.0,,15.0,,1.0,16.0,,1.0,,
16:46:01.0,,4.0,5.0,,4.0,,1.0,,,1.0,,1.0
16:46:04.0,,34.0,34.0,,34.0,,48.0,7.0,,48.0,,49.0
16:46:05.0,,,,,,,1.0,,,2.0,,2.0
16:46:06.0,,11.0,7.0,,11.0,,19.0,1.0,,18.0,,17.0
16:46:07.0,,15.0,9.0,,15.0,,3.0,10.0,,3.0,,3.0
16:46:08.0,,3.0,1.0,,3.0,,2.0,5.0,,3.0,,2.0
16:46:11.0,,35.0,29.0,,35.0,,15.0,42.0,,14.0,,15.0
16:46:13.0,,10.0,29.0,,10.0,,4.0,36.0,,4.0,,5.0
16:46:14.0,,16.0,20.0,,16.0,,5.0,10.0,,5.0,,4.0
16:46:15.0,,1.0,,,1.0,,,5.0,,1.0,,
16:46:16.0,,1.0,,,1.0,,1.0,2.0,,1.0,,1.0
16:46:18.0,,32.0,37.0,,32.0,,49.0,38.0,,49.0,,52.0
16:46:20.0,,12.0,,,12.0,,6.0,,,7.0,,3.0
16:46:21.0,,15.0,2.0,,15.0,,18.0,1.0,,17.0,,20.0
16:46:22.0,,1.0,,,1.0,34.0,,,,,,
16:46:23.0,1.0,1.0,,,1.0,,,,,,,
16:46:25.0,,35.0,19.0,,35.0,,32.0,36.0,,31.0,,30.0
16:46:27.0,,11.0,29.0,,11.0,,16.0,3.0,,16.0,,17.0
16:46:28.0,,14.0,24.0,,14.0,,21.0,3.0,,22.0,,21.0
16:46:29.0,,1.0,,,1.0,,,,,,,
16:46:30.0,,1.0,,,1.0,,,,,,,
16:46:32.0,,37.0,103.0,,37.0,,42.0,59.0,,41.0,,41.0
16:46:34.0,,11.0,7.0,,11.0,,,1.0,,,,
16:46:35.0,,13.0,22.0,,13.0,,,21.0,,,,1.0
16:46:36.0,1.0,1.0,,,1.0,12.0,,,,,,
16:46:37.0,1.0,1.0,,,1.0,,,,,,,
16:46:38.0,1.0,,,,,1.0,,,,,,
16:46:39.0,,39.0,14.0,2.0,37.0,,8.0,6.0,,8.0,,8.0
16:46:40.0,1.0,,,,,,,,,,,
16:46:41.0,1.0,11.0,,,11.0,,8.0,,,9.0,,7.0
16:46:42.0,,13.0,1.0,,13.0,,3.0,,,3.0,,3.0
16:46:43.0,5.0,7.0,,6.0,1.0,20.0,4.0,,3.0,1.0,3.0,1.0
16:46:44.0,2.0,1.0,,,1.0,,,,,,,
16:46:45.0,10.0,,,,,11.0,,,,,,
16:46:46.0,,35.0,35.0,,35.0,,28.0,1.0,,29.0,,29.0
16:46:48.0,,14.0,4.0,,14.0,,14.0,6.0,,12.0,,13.0
16:46:49.0,,10.0,7.0,,10.0,,9.0,23.0,,11.0,,10.0
16:46:50.0,,1.0,,,1.0,,1.0,,,1.0,,1.0
16:46:51.0,,1.0,,,1.0,,,,,,,
16:46:53.0,,38.0,64.0,,38.0,,17.0,84.0,,15.0,,16.0
16:46:55.0,,11.0,10.0,,11.0,,5.0,3.0,,6.0,,7.0
16:46:56.0,,12.0,24.0,,12.0,,20.0,6.0,,20.0,,18.0
16:46:57.0,,4.0,1.0,3.0,1.0,18.0,5.0,,5.0,,5.0,
16:46:58.0,,1.0,,,1.0,,,,,,,
16:46:59.0,2.0,2.0,,2.0,,14.0,2.0,,2.0,,2.0,
16:47:00.0,,36.0,35.0,,36.0,,31.0,51.0,,31.0,,33.0
16:47:02.0,,10.0,1.0,,10.0,,6.0,,,7.0,,6.0
16:47:03.0,,14.0,7.0,,14.0,,5.0,4.0,,3.0,,5.0
16:47:04.0,13.0,20.0,,18.0,2.0,23.0,21.0,2.0,20.0,1.0,21.0,
16:47:05.0,2.0,,,,,2.0,,4.0,,1.0,,
16:47:06.0,8.0,1.0,,1.0,,11.0,,,,,,
16:47:07.0,,38.0,43.0,,38.0,,74.0,11.0,,73.0,,73.0
16:47:09.0,,10.0,17.0,,10.0,,,1.0,,,,
16:47:10.0,,13.0,82.0,,13.0,,8.0,25.0,,9.0,,7.0
16:47:11.0,,3.0,1.0,,3.0,,2.0,,,1.0,,2.0
16:47:14.0,,38.0,81.0,,38.0,,14.0,45.0,,14.0,,14.0
